Schema,Schema Type,Schema Name,Root Causes (Childhood Drivers),Symptoms & Behavioral Loops,Projections & Manifestations (Psychological/Physiological)
1,Schemas of Self-Worth and Achievement (Growth & Meaning),Conditional Self-Worth (Perfectionism),"Early affection/praise was contingent on flawless performance; high parental criticism; the belief that ""I am only good if I am perfect."" ",Fear of failure leading to crippling procrastination or chronic overworking; setting impossibly high standards; inability to accept praise; constant feeling of being a fraud.,"Psychological: Imposter syndrome, shame spiral, anxiety, chronic low self-esteem. Physiological: Insomnia, GI distress, muscle tension, burnout."
2,Schemas of Self-Worth and Achievement (Growth & Meaning),Learned Helplessness & Fatalism,"Repeated experience where effort yielded no predictable reward or outcome; lack of autonomy (e.g., in chaotic or abusive homes). ","Low initiative; belief that external forces (luck, ""the universe"") dictate life; apathy; avoidance of planning; failing to attempt challenges, leading to stagnation.","Psychological: Apathy, chronic depression, external locus of control. Physiological: Low energy, unmanaged stress, poor financial planning."
3,Schemas of Self-Worth and Achievement (Growth & Meaning),Fixed Mindset & Rigidity,Belief that talent/ability is innate and cannot be improved (often instilled by labeling); avoidance of vulnerability/mistakes.,Resistance to change; giving up easily when a task requires effort; viewing failure as a sign of permanent stupidity; defensive response to constructive criticism.,"Psychological: Intellectual stagnation, inability to adapt to new work/life environments. Physiological: Stress response from trying to maintain a facade of competence."
4,Schemas of Self-Worth and Achievement (Growth & Meaning),Inner Critic Dominance (Shame Core),Constant criticism or high shame/blame during childhood ; internalization of parental harshness.,Inability to forgive oneself; chronic guilt; self-sabotage when success is imminent; tendency to focus exclusively on negatives; minimizing achievements.,"Psychological: High anxiety, chronic guilt, self-hatred, low vitality. Physiological: Self-neglect, chronic pain, increased reliance on coping mechanisms."
5,Schemas of Relationship and Attachment (Connection),Anxious Attachment & Abandonment Fear,"Inconsistent caregiving; threats of loss or separation (e.g., divorce, hospitalization).",Hyper-vigilance in relationships; high need for reassurance; chronic insecurity; often misinterpreting neutral actions as signs of rejection; difficulty being alone.,"Psychological: Relationship cycling (seek/reject), panic, intense mood swings linked to relational status. Physiological: Anxiety, hyper-arousal, poor sleep."
6,Schemas of Relationship and Attachment (Connection),Avoidant Attachment & Emotional Isolation,Emotional neglect ; emotional invalidation; being punished for emotional expression; high self-reliance as survival mechanism.,Emotional numbing ; difficulty with vulnerability ; inability to initiate closeness ; prioritizing independence over intimacy; feeling drained by social interaction.,"Psychological: Loneliness, inability to access emotional support, surface-level relationships. Physiological: Suppression of feelings contributing to physical tension."
7,Schemas of Relationship and Attachment (Connection),Good-Child Syndrome & Boundary Weakness,"Affection/safety conditional on compliance and suppressing needs ; needing to ""parent"" a caregiver.",Chronic inability to say 'no'; resentment; over-giving ; emotional exhaustion ; lack of genuine connection because of masked self.,"Psychological: Burnout, internalized rage, resentment, low engagement. Physiological: Chronic fatigue, tension headaches, frequent illness."
8,Schemas of Relationship and Attachment (Connection),Digital Escape & Connection Substitution,Developing screens as an early soothing/coping mechanism; social anxiety leading to digital withdrawal.,Productivity sabotage; addiction to social media ; loss of control over time ; replacing reciprocal relationships with passive digital consumption.,"Psychological: Increased anxiety, depression, sense of detachment. Physiological: Sleep disruption, eye strain, poor posture, low physical vitality."
9,Schemas of Resource and Security (Stability & Environment),Financial Scarcity & Anxiety,Experiencing or witnessing severe financial struggle; parents having chronic money stress .,Chronic anxiety about money; inability to plan/invest; either hoarding resources or impulsive spending to compensate for deprivation; debt stress.,"Psychological: High chronic anxiety, panic attacks when discussing money. Physiological: Stress-related sleep issues, constant low-grade stress ."
10,Schemas of Resource and Security (Stability & Environment),Environmental Chaos Tolerance,"Growing up in disorganized, chaotic, or unsafe homes/neighborhoods .",High tolerance for clutter and disorder; inability to focus due to environment ; prioritizing ease over comfort/functionality; neglecting personal space needs .,"Psychological: Diffuse anxiety, reduced focus, low sense of control, Physiological: Chronic low-grade stress, lack of restful relaxation."
