ID,Element,Sub Element,Question Text,Scale Type,Scale Min (1),Scale Max (5)
1,Vitality,Physical Health,I would rate my health overall as excellent.,Agreement,Strongly Disagree,Strongly Agree
2,Vitality,Physical Pain,I am rarely interfered with by physical discomfort or pain in my normal activities.,Agreement,Strongly Disagree,Strongly Agree
3,Vitality,Vital Energy,I have a lot of physical and mental energy.,Agreement,Strongly Disagree,Strongly Agree
4,Vitality,Mental Health,"I feel mentally sharp, focused, and free from exhaustion.",Agreement,Strongly Disagree,Strongly Agree
5,Vitality,Sleep Quality,I would rate my sleep quality as very good.,Agreement,Strongly Disagree,Strongly Agree
6,Vitality,Sense of Control,I feel able to control important things in my life.,Agreement,Strongly Disagree,Strongly Agree
7,Vitality,Adaptation,I am able to adapt easily and positively when changes occur.,Agreement,Strongly Disagree,Strongly Agree
8,Vitality,Sense of Joy,I feel cheerful and in good spirits.,Agreement,Strongly Disagree,Strongly Agree
9,Vitality,Sense of Peace,I feel calm and relaxed.,Agreement,Strongly Disagree,Strongly Agree
10,Vitality,Healthy work-life balance,"I have enough energy to fully engage in work, family, friends, and hobbies.",Agreement,Strongly Disagree,Strongly Agree
11,Connection,Sense Of Companionship,I feel that I have adequate companionship.,Agreement,Strongly Disagree,Strongly Agree
12,Connection,Sense of Belonging,"I feel included and seldom left out among family, friends, or at work.",Agreement,Strongly Disagree,Strongly Agree
13,Connection,Sense Of Security,I can count on my friends and family for reliable support when things go wrong.,Agreement,Strongly Disagree,Strongly Agree
14,Connection,Sense of Community,I have positive and healthy relationships with my neighbours and colleagues.,Agreement,Strongly Disagree,Strongly Agree
15,Connection,Relationship Balance,My relationships feel reciprocal; I give and receive support equally.,Agreement,Strongly Disagree,Strongly Agree
16,Connection,Emotional Safety,I prefer to share my feelings and emotions deeply with a partner.,Agreement,Strongly Disagree,Strongly Agree
17,Connection,Emotional Trust,I feel secure and confident in my partner's love (if applicable).,Agreement,Strongly Disagree,Strongly Agree
18,Connection,Digital Life,I am consistently in control of my daily screen time and digital usage.,Agreement,Strongly Disagree,Strongly Agree
19,Connection,Digital Habits,My digital habits effectively support and enhance my productivity.,Agreement,Strongly Disagree,Strongly Agree
20,Connection,Digital Wellbeing,I feel that social media generally enhances my mental health and well-being.,Agreement,Strongly Disagree,Strongly Agree
21,Environment,Environmental Safety,I feel very safe and secure in my neighborhood.,Agreement,Strongly Disagree,Strongly Agree
22,Environment,Community Orderliness,"I would describe my neighborhood as clean, quiet, and well-maintained.",Agreement,Strongly Disagree,Strongly Agree
23,Environment,Environmental Quality,I have sufficient access to park/garden/green space near my home.,Agreement,Strongly Disagree,Strongly Agree
24,Environment,Ease of Transportation,My transit/commute from home to work/city is comfortable and efficient.,Agreement,Strongly Disagree,Strongly Agree
25,Environment,Ease of Commute,I feel completely safe and comfortable in my home environment.,Agreement,Strongly Disagree,Strongly Agree
26,Environment,Home Orderliness,"My home is clean, organized, and well-maintained.",Agreement,Strongly Disagree,Strongly Agree
27,Environment,Access to Privacy,I have enough private and personal space in my home when I need it.,Agreement,Strongly Disagree,Strongly Agree
28,Environment,Quality of Living Space,"I feel content with my home, it is my sanctuary.",Agreement,Strongly Disagree,Strongly Agree
29,Environment,Quality of Work Space,"My primary workspace is comfortable, functional, and conducive to focus.",Agreement,Strongly Disagree,Strongly Agree
30,Environment,Sense of Comfort,"My home, work, and neighborhood spaces actively support my well-being.",Agreement,Strongly Disagree,Strongly Agree
31,Growth,Career Fullfilment,I have found a fulfilling career path.,Agreement,Strongly Disagree,Strongly Agree
32,Growth,Career Growth,My current work/job is well-aligned with my long-term career goals.,Agreement,Strongly Disagree,Strongly Agree
